Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
879944,0CF00417,true,Rx,0,8,FF,FF,FF,A1,12,FF,FF,FF,
881829,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
899922,0CF00417,true,Rx,0,8,FF,FF,FF,A2,12,FF,FF,FF,
919784,0CF00417,true,Rx,0,8,FF,FF,FF,A2,12,FF,FF,FF,
931962,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
939906,0CF00417,true,Rx,0,8,FF,FF,FF,A5,12,FF,FF,FF,
942005,18FEC1EE,true,Rx,0,8,84,B7,EC,00,40,70,10,00,
959809,0CF00417,true,Rx,0,8,FF,FF,FF,AA,12,FF,FF,FF,
979891,0CF00417,true,Rx,0,8,FF,FF,FF,B1,12,FF,FF,FF,
981945,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
999891,0CF00417,true,Rx,0,8,FF,FF,FF,B1,12,FF,FF,FF,
1001980,18FEE6EE,true,Rx,0,8,C8,1F,14,07,58,27,7D,7A,
1019934,0CF00417,true,Rx,0,8,FF,FF,FF,B1,12,FF,FF,FF,
1032242,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1039909,0CF00417,true,Rx,0,8,FF,FF,FF,B1,12,FF,FF,FF,
1059967,0CF00417,true,Rx,0,8,FF,FF,FF,B3,12,FF,FF,FF,
1079822,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
1081911,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1099934,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
1119931,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
1132005,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1139796,0CF00417,true,Rx,0,8,FF,FF,FF,CC,12,FF,FF,FF,
1159807,0CF00417,true,Rx,0,8,FF,FF,FF,CC,12,FF,FF,FF,
1179922,0CF00417,true,Rx,0,8,FF,FF,FF,C7,12,FF,FF,FF,
1182010,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1199771,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
1219946,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
1232013,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1239883,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
1259891,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
1279971,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
1282036,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1299816,0CF00417,true,Rx,0,8,FF,FF,FF,B0,12,FF,FF,FF,
1319730,0CF00417,true,Rx,0,8,FF,FF,FF,B0,12,FF,FF,FF,
1332081,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1339862,0CF00417,true,Rx,0,8,FF,FF,FF,AF,12,FF,FF,FF,
1359802,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
1379755,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
1382120,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1400028,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
