Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
28480382,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28481449,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28483267,18D0FF17,true,Rx,0,8,FA,00,00,00,00,00,00,00,
28483567,18FDA521,true,Rx,0,4,FF,FF,FF,FF,00,00,00,00,
28484122,18FF3321,true,Rx,0,8,CC,17,88,13,00,00,00,00,
28484688,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28485495,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28486044,18FF3117,true,Rx,0,8,14,00,00,00,00,00,A8,80,
28486597,18FF3821,true,Rx,0,8,FF,FF,FF,FF,F3,04,FF,FC,
28487151,18FFC017,true,Rx,0,8,00,FD,FF,FF,FF,FF,FF,FF,
28487702,18FF3921,true,Rx,0,8,31,5E,9E,66,4E,20,20,20,
28488248,18FF3A21,true,Rx,0,8,16,7C,09,00,38,15,00,00,
28488807,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28489353,18FF3C21,true,Rx,0,8,FF,FF,38,00,00,C0,01,00,
28489910,18FF3D21,true,Rx,0,8,05,00,00,E0,FF,FF,FF,FF,
28490718,18FF4090,true,Rx,0,8,00,00,00,00,00,00,00,00,
28491264,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28491834,18FF4190,true,Rx,0,8,00,00,00,00,00,00,00,00,
28492380,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28495301,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28495307,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28495312,1CDEEE17,true,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
28496435,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28499920,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28501495,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28503087,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28503639,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28505791,18FF3117,true,Rx,0,8,04,00,00,00,00,00,AE,80,
28509420,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28516230,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28521410,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28522237,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28523297,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28523862,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28525947,18FF3117,true,Rx,0,8,00,00,00,00,00,00,A8,80,
28529558,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28535601,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28535606,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28535612,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28535617,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28535622,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28540529,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28541858,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28543192,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28543748,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28545965,18FF3117,true,Rx,0,8,00,00,00,00,00,00,AE,80,
28549589,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28555961,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28560392,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28561716,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28563292,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28563863,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28565951,18FF3117,true,Rx,0,8,00,00,00,00,00,00,AE,80,
28571905,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28575719,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28579297,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28581946,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28583213,18FDA521,true,Rx,0,4,FF,FF,FF,FF,00,00,00,00,
28583577,18FF3321,true,Rx,0,8,CC,17,88,13,00,00,00,00,
28584237,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28584898,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28585551,18FF3821,true,Rx,0,8,FF,FF,FF,FF,F3,04,FF,FC,
28585904,18FF3117,true,Rx,0,8,00,00,00,00,00,00,B4,80,
28586587,18FF3921,true,Rx,0,8,31,5E,9E,66,4E,20,20,20,
28587182,18FFC017,true,Rx,0,8,00,FD,FF,FF,FF,FF,FF,FF,
28587752,18FF3A21,true,Rx,0,8,16,7C,09,00,38,15,00,00,
28588297,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28588863,18FF3C21,true,Rx,0,8,FF,FF,38,00,00,C0,01,00,
28589415,18FF3D21,true,Rx,0,8,05,00,00,E0,FF,FF,FF,FF,
28590007,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28590646,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28591197,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28591756,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28596344,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28599604,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28601823,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28603146,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28603708,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28605797,18FF3117,true,Rx,0,8,00,00,00,00,00,00,AE,80,
28609953,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28618262,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28620558,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28621891,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28623309,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28623876,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28625724,18FF3117,true,Rx,0,8,00,00,00,00,00,00,AE,80,
28629535,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28633226,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28636491,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28636496,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28636502,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28636508,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28640398,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28641715,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28643289,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28643857,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28645949,18FF3117,true,Rx,0,8,10,00,00,00,00,00,AE,80,
28649564,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28651410,18FF50FB,true,Rx,0,8,58,00,00,00,00,00,00,01,
28656234,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28660519,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28661905,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28663219,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28663780,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28665826,18FF3117,true,Rx,0,8,10,00,00,00,00,00,AE,80,
28671718,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28676687,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28679530,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
